"기준_년분기_코드","자치구_코드","자치구_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20204","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20193","11470","양천구","146577","90275","56302","405","21068","37658","37355","31582","18509","258","9771","23404","23625","19845","13372","147","11297","14254","13730","11737","5137"
"20211","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20212","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20194","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20213","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20224","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20221","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20201","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20222","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20191","11470","양천구","71559","37020","34539","211","9386","15315","17973","17571","11103","109","3475","7400","9033","9537","7466","102","5911","7915","8940","8034","3637"
"20223","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20202","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20233","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20203","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20193","11500","강서구","149153","88692","60461","253","20982","38123","37326","33279","19190","145","8402","21108","23188","22225","13624","108","12580","17015","14138","11054","5566"
"20214","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20194","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20201","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20202","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20203","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20204","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20211","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20212","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20213","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20221","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20222","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20223","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
